Year,Regn,Aslt,Fraud,Drug,Thief,Popln,Incme,StnNo,Police,Float,Unemp,CPI,Aging,Dens,Estab,Multi,Crime_Aslt,Crime_Fraud,Crime_Drug,Crime_Thief,Crime
2021,경기구리,362,869,18,482,193351,2085208,5,368,194,4.5,118.7,122.9,5799.370126,193,952,187.2242709,449.4416889,9.309494132,249.2875651,895.2630191
2021,경기군포,500,1135,20,663,274100,2448569,5,405,277,4,118.7,124.2,7526.084569,98,2385,182.4151769,414.0824517,7.296607078,241.8825246,845.6767603
2021,경기김포,1177,2363,84,1392,504267,2513299,12,531,487,2.9,118.7,74.9,1823.091106,135,4466,233.4080953,468.6009594,16.65784198,276.0442385,994.7111352
2021,경기남양주,1140,3149,41,1288,740856,2112205,17,870,668,3.7,118.7,104.4,1617.165808,108,4020,153.8760569,425.0488624,5.534138888,173.8529485,758.3120067
2021,경기동두천,230,539,28,251,96860,2065637,5,230,91,4.7,118.7,204.8,1012.332776,170,1048,237.4561222,556.4732604,28.90770184,259.1368986,1081.973983
2021,경기부천,2322,5703,140,3030,829846,2263154,14,1187,850,3.9,118.7,138.2,15522.74598,479,10267,279.8109529,687.235945,16.87060009,365.1279876,1349.045486
2021,경기성남,1899,4463,109,2697,945037,3004215,23,1011,956,4.1,118.7,129.3,6672.576432,318,5912,200.9445133,472.2566418,11.53393994,285.3856516,970.1207466
2021,경기수원,2908,6125,194,4201,1216965,3080888,23,1920,1241,3.4,118.7,93.4,10049.25681,341,9934,238.9551055,503.3012453,15.94129659,345.2030256,1103.400673
2021,경기시흥,1413,3691,111,1854,543553,2689216,12,764,571,5.3,118.7,68.9,3884.46366,285,8779,259.9562508,679.050617,20.42119168,341.0890934,1300.517153
2021,경기안산,2216,4303,102,2638,700138,2683159,22,1334,739,5,118.7,109.2,4474.582987,420,11971,316.5090311,614.5931231,14.56855648,376.7828628,1322.453573
2021,경기안성,545,896,39,709,200408,2675415,10,345,230,2.9,118.7,156.3,362.0936997,80,2101,271.9452317,447.0879406,19.46030099,353.7782923,1092.271766
2021,경기안양,1182,2404,59,1461,553249,2647269,10,934,553,4.4,118.7,127.6,9457.247863,365,2981,213.6470197,434.524057,10.66427594,264.0763924,922.911745
2021,경기양주,496,1012,38,515,243071,2276155,27,342,229,3.3,118.7,126.4,782.8373591,86,2058,204.0556052,416.3392589,15.63329233,211.8722513,847.9004077
2021,경기여주,224,678,52,318,115317,2306491,11,283,125,1.5,118.7,221.4,189.6068663,39,923,194.2471622,587.9445355,45.09309122,275.7615963,1103.046385
2021,경기오산,652,1330,45,903,238579,2346056,4,354,253,4.8,118.7,67.9,5588.639026,130,3333,273.2847401,557.4673379,18.86167684,378.490982,1228.104737
2021,경기용인,1406,3852,74,2242,1093665,2782143,22,1106,1036,3.7,118.7,97.6,1849.781814,199,5627,128.5585623,352.2102289,6.766240119,204.9987885,692.5338198
2021,경기의왕,198,554,9,172,164363,2535158,4,236,164,3.6,118.7,122,3042.069221,16,678,120.4650682,337.0588271,5.475684917,104.6464229,567.6460031
2021,경기의정부,1529,2989,93,1183,468339,1955010,7,767,444,4.7,118.7,138.4,5742.967505,251,2850,326.4729181,638.2129184,19.85741098,252.5948085,1237.138056
2021,경기이천,663,1574,49,600,229854,3245274,13,392,264,2.5,118.7,111.8,497.9613943,94,1753,288.4439688,684.7825141,21.31788005,261.0352659,1255.579629
2021,경기파주,919,2319,30,1093,493503,2417658,13,597,474,3,118.7,98.5,732.3415496,140,3660,186.2197393,469.905958,6.078990401,221.4778836,883.6825713
2021,경기평택,1643,4547,159,1987,588046,2921638,16,859,581,3.4,118.7,87.5,1282.319334,645,6771,279.3999109,773.2388283,27.03870105,337.8987358,1417.576176
2021,경기포천,317,823,57,333,160209,2372284,14,375,173,3.1,118.7,223,193.6692335,154,1898,197.8665368,513.7039742,35.57852555,207.8534914,955.0025279
2021,경기하남,555,1204,19,721,322271,2336367,6,301,315,2.7,118.7,86.5,3466.024952,51,1598,172.2153095,373.5986173,5.895659243,223.7247534,775.4343394
2021,경기화성,1968,3633,112,2040,922092,2994736,17,910,964,3.4,118.7,51,1315.826876,276,7832,213.4277274,393.9953931,12.14629343,221.2360589,840.8054728
2020,경기고양,2432,5990,100,2174,1090738,2106005,18,569,1014,3.4,115.8,111.5,4067.641246,84,5776,222.9683022,549.1694614,9.168104531,199.3145925,980.6204606
2020,경기과천,75,224,4,127,63397,2612894,2,189,50,3.4,115.8,108.7,1767.410092,1,166,118.3021279,353.3290219,6.309446819,200.3249365,678.2655331
2020,경기광명,915,1540,29,1093,303068,2301578,6,493,302,4.6,115.8,107,7867.80893,176,2152,301.9124421,508.1367878,9.56880964,360.6451357,1180.263175
2020,경기광주,1051,2243,42,808,393954,2291873,9,457,392,4.3,115.8,96.8,914.0676118,35,3212,266.7824162,569.3558131,10.66114318,205.1000878,1051.89946
2020,경기구리,638,1075,20,618,198856,1980378,5,377,190,5.1,115.8,111.3,5964.487103,193,935,320.8351772,540.5921873,10.05752907,310.7776481,1182.262542
2020,경기군포,571,1154,13,713,280039,2325472,5,406,269,4.7,115.8,109,7689.154311,101,2318,203.900171,412.0854595,4.642210549,254.607394,875.2352351
2020,경기김포,969,2862,43,1186,492766,2386948,12,523,443,4.2,115.8,70.6,1781.511208,128,4077,196.6450607,580.8030587,8.726251405,240.6821899,1026.856561
2020,경기남양주,1157,3262,60,1353,720462,2006018,17,854,621,4.9,115.8,96.3,1572.649088,111,3750,160.5913983,452.7650313,8.32798954,187.7961641,809.4805833
2020,경기동두천,313,692,19,266,97687,1961791,5,231,85,4.9,115.8,188.8,1020.976171,172,1023,320.411109,708.3849437,19.44987562,272.2982587,1320.544187
2020,경기부천,2728,6570,103,3550,842788,2149378,14,1534,848,4.7,115.8,123.2,15764.83352,487,9570,323.6875703,779.5554754,12.22134155,421.2209951,1536.685382
2020,경기성남,2199,6094,74,3021,955248,2853184,23,1032,925,4.6,115.8,119.8,6744.672739,329,5877,230.2019999,637.9495168,7.746679396,316.2529521,1192.151148
2020,경기수원,3977,8543,176,4868,1221913,2926002,23,1921,1218,3.9,115.8,84.7,10090.11561,361,9520,325.4732538,699.1496121,14.40364412,398.3917022,1437.418212
