,2018,2019,2020,2021,2022
강원도 삼척시,2138766,2226811.028,2296982.254,2416802.932,2581241.918
강원도 홍천군,1978057,2059486.238,2124384.728,2235201.961,2387284.838
강원도 횡성군,1936773,2016502.729,2080046.724,2188551.092,2337459.849
강원도 영월군,1906465,1984947.062,2047496.675,2154303.09,2300881.617
강원도 평창군,1865679,1942482.054,2003693.511,2108214.96,2251657.657
강원도 정선군,2466599,2568139.692,2649066.86,2787253.816,2976898.236
강원도 철원군,1731115,1802378.555,1859175.073,1956157.807,2089254.552
강원도 화천군,1692832,1762519.587,1818060.07,1912898.064,2043051.422
강원도 양구군,1628153,1695177.994,1748596.409,1839810.874,1964991.388
강원도 인제군,1726598,1797675.607,1854323.926,1951053.602,2083803.059
강원도 고성군,1928694,2008091.147,2071370.076,2179421.832,2327709.436
강원도 양양군,1790114,1863806.325,1922538.553,2022826.604,2160459.486
충청북도 청주시,2194768,2281581.303,2339538.699,2461838.628,2603293.967
충청북도 충주시,2047089,2128060.91,2182118.536,2296189.29,2428126.546
충청북도 제천시,1872923,1947005.833,1996464.245,2100829.877,2221541.934
충청북도 보은군,2133702,2218099.858,2274444.68,2393341.804,2530861.369
충청북도 옥천군,2007468,2086872.715,2139884.066,2251747.003,2381130.64
충청북도 영동군,1787824,1858540.771,1905751.968,2005375.594,2120602.922
충청북도 증평군,2098360,2181359.917,2236771.46,2353699.208,2488940.94
충청북도 진천군,2628748,2732727.234,2802144.771,2948627.54,3118053.393
충청북도 괴산군,2009274,2088750.151,2141809.193,2253772.766,2383272.803
충청북도 음성군,2579271,2681293.188,2749404.183,2893129.925,3059366.928
충청북도 단양군,1922435,1997739.7,2050442.429,2161551.187,2321560.473
충청남도 천안시,2334384,2425825.369,2489821.502,2624739.201,2819036.079
충청남도 공주시,2244585,2332508.805,2394043.138,2523770.828,2710593.5
충청남도 보령시,2205528,2291921.883,2352385.485,2479855.843,2663427.698
충청남도 아산시,2555003,2655086.35,2725130.658,2872799.22,3085458.793
충청남도 서산시,2604607,2706633.414,2778037.595,2928573.061,3145361.305
충청남도 논산시,1926424,2001884.955,2054697.041,2166036.347,2326377.648
충청남도 계룡시,1767242,1836467.555,1884915.734,1987054.981,2134147.149
충청남도 당진시,2680560,2785561.609,2859048.008,3013973.243,3237083.252
충청남도 금산군,2231226,2318626.513,2379794.614,2508750.21,2694460.977
충청남도 부여군,1842486,1914658.976,1965169.938,2071657.976,2225012.898
충청남도 서천군,2034902,2114612.204,2170398.167,2288007.05,2457377.259
충청남도 청양군,1890149,1964189.009,2016006.63,2125249.392,2282571.43
충청남도 홍성군,1893752,1967933.144,2019849.54,2129300.54,2286922.465
충청남도 예산군,2108479,2191071.327,2248874.371,2370735.7,2546229.914
충청남도 태안군,2183920,2270197.981,2335835.297,2456651.992,2621639.71
전라북도 전주시,1955247,2032491.022,2091255.612,2199421.882,2347134.134
전라북도 군산시,2132924,2217187.332,2281291.973,2399287.516,2560422.661
전라북도 익산시,1940532,2017194.691,2075517.025,2182869.246,2329469.83
